id,name,purposes,legIntPurposes,flexiblePurposes,specialPurposes,features,specialFeatures,cookieMaxAgeSeconds,usesCookies,cookieRefresh,usesNonCookieAccess,dataRetention,urls,dataDeclaration,deviceStorageDisclosureUrl,overflow,deletedDate
1160,streaMonkey GmbH,[],[],[],"[1, 2]",[],[],,False,False,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'de', 'privacy': 'https://www.streamonkey.de/de/datenschutz', 'legIntClaim': 'https://www.streamonkey.de/de/datenschutz'}]",[1],https://www.streamonkey.de/iab_disclosures.json,,
1161,freenet DLS GmbH,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],[],"[1, 2]","[1, 2]",[1],7884000.0,True,True,True,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'de', 'privacy': 'https://www.freenet-mobilfunk.de/legal/datenschutz/', 'legIntClaim': 'https://www.freenet-mobilfunk.de/legal/datenschutz/'}]","[2, 3, 6, 10, 11]",https://www.freenet-mobilfunk.de/deviceStorage.json,,
1162,Reset Digital Europe Ltd,"[1, 3, 4, 5, 6]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]","[2, 3]","[1, 2]",31536000.0,True,True,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://resetdigital.co/policies.html', 'legIntClaim': 'https://resetdigital.co/policies.html'}]","[1, 3, 8]",https://resetdigital.co/GDPR-TCF.json,,
1163,ADTTRIBUTION Inc,"[1, 2, 3, 4, 7, 9, 10]",[],[],[1],"[1, 2, 3]",[],31536000.0,True,True,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://adttribution.com/privacy-policy.html', 'legIntClaim': 'https://adttribution.com/privacy-policy.html'}]","[1, 2, 3, 5, 6, 8, 10, 11]",https://www.adttribution.net/devicestorage.json,,
1164,congstar GmbH,[1],[],[],[2],[1],[],604800.0,True,False,False,"{'purposes': {}, 'specialPurposes': {'2': 7}}","[{'langId': 'de', 'privacy': 'https://www.congstar.de/datenschutz', 'legIntClaim': 'https://www.congstar.de/datenschutz'}]",[1],https://banner.congstar.de/iab.json,,
1165,Kueez Entertainment Ltd.,"[1, 3, 4, 5, 6]","[2, 7, 8, 9, 10, 11]",[],"[1, 2]","[1, 2, 3]","[1, 2]",2592000.0,True,True,True,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.kueez.com/en/privacy', 'legIntClaim': 'https://www.kueez.com/en/privacy'}]","[1, 2, 3, 4, 6, 8, 11]",https://en.kueez.com/tcf.json,,
1167,Reliz LTD,"[1, 2, 7, 8, 9, 10]",[],"[2, 7, 8, 9, 10]","[1, 2]",[3],[1],32000000.0,True,True,False,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://reliz.com/policy', 'legIntClaim': 'https://reliz.com/policy'}]",[7],https://hub.bumlam.com/TCFv2.json,{'httpGetLimit': 32},
1168,Voxnest Inc,"[3, 4]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]",[3],[],,False,False,False,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {'1': 180, '2': 4320}}","[{'langId': 'en', 'privacy': 'https://www.voxnest.com/privacy/', 'legIntClaim': 'https://www.voxnest.com/privacy/'}]","[1, 2, 4, 6, 10, 11]",https://www.voxnest.com/iab-tcf-disclosures.json,,
1169,Alkimi,[],"[7, 8, 10]",[],"[1, 2]",[],[],,False,False,False,"{'stdRetention': 1095, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.alkimi.org/docs/privacy-notice.pdf', 'legIntClaim': 'https://www.alkimi.org/docs/privacy-notice.pdf'}]","[1, 2, 3, 8, 9, 11]",https://d1xjh92lb8fey3.cloudfront.net/tcf/alkimi_exchange_tcf.json,,
1170,Zeit Agency ApS,[],"[7, 8, 9, 10]",[],"[1, 2]",[],[],,False,False,False,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://zeitagency.com/privacy.html', 'legIntClaim': 'https://zeitagency.com/privacy.html'}]","[1, 2, 6]",https://zeitagency.com/domains.json,,
1171,Frii ApS,[],"[7, 8, 10]",[],[2],[],[],,False,False,False,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {'2': 0}}","[{'langId': 'en', 'privacy': 'https://www.friidigital.io/privacy', 'legIntClaim': 'https://www.friidigital.io/privacy'}]",[6],https://cdn.friidigital.io/iab/tcf_2_0.json,,2023-11-21T00:00:00Z
1172,"Sitewit, Corp",[],[],[],[1],"[1, 2, 3]",[],7776000.0,True,True,True,"{'purposes': {}, 'specialPurposes': {'1': 770}}","[{'langId': 'en', 'privacy': 'https://www.kliken.com/privacy-policy.html', 'legIntClaim': 'https://www.kliken.com/privacy-policy.html'}]","[1, 2, 7, 8, 11]",https://my.kliken.com/disclosures.json,,
